"Formulation_ID","API concentration final(%)","Chitosan","Alginate","Calcium chloride","TPP","Surfactant_MW","Surfactant_HLB","Surfactant  Concentratin (%)","Particle_Size (nm)","Encapsulation_Efficiency  (%)","Loading_capacity (%)","Zeta_Potential (clean)","SlogP","TPSA","AMW","NumRotatableBonds","NumHBD","NumHBA","NumAromaticRings","NumSaturatedRings","NumAliphaticRings"
45,0.06,0.3,0.2,0,0,12600,22,0.5,468,61.31,,47.8,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
46,0.06,0.1,0.6,0,0,12600,22,0.5,273,71.82,,17.6,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
47,0.06,0.3,0.6,0,0,12600,22,0.5,572,68.51,,38.1,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
48,0.01,0.1,0.4,0,0,12600,22,0.5,243,74.53,,21.9,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
49,0.01,0.3,0.4,0,0,12600,22,0.5,483,63.29,,42.2,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
50,0.1,0.1,0.4,0,0,12600,22,0.5,261,76.84,,20.5,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
51,0.1,0.3,0.4,0,0,12600,22,0.5,528,67.08,,42.3,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
52,0.01,0.2,0.2,0,0,12600,22,0.5,338,62.54,,39.6,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
53,0.01,0.2,0.6,0,0,12600,22,0.5,389,66.91,,30.2,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
54,0.1,0.2,0.2,0,0,12600,22,0.5,391,64.43,,37.8,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
55,0.1,0.2,0.6,0,0,12600,22,0.5,409,68.22,,30.8,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
56,0.06,0.2,0.4,0,0,12600,22,0.5,317,81.48,,34.7,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
57,0.06,0.2,0.4,0,0,12600,22,0.5,298,77.67,,33.1,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
58,0.06,0.2,0.4,0,0,12600,22,0.5,317,82.56,,35.5,1.9803999999999997,83.8,375.40000000000015,4,2,6,2,2,2
59,0.00351201478743068,0.0147258163894023,0.0442513863216266,0.00921749845964264,0,0,0,0,332,14,,-25.1,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
60,0.00351201478743068,0.00427048675292668,0.0442513863216266,0.00921749845964264,0,0,0,0,247,22,,-21.6,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
61,0.00351201478743068,0.0147258163894023,0.0442513863216266,0.00921749845964264,0,12600,22,0.00733210104744301,428,25,,-24.2,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
62,0.00351201478743068,0.00427048675292668,0.0442513863216266,0.00921749845964264,0,12600,22,0.00733210104744301,275,20,,-19.6,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
63,0.00175600739371534,0.0147258163894023,0.0442513863216266,0.00921749845964264,0,12600,22,0.0036660505237215,375,37,,-24.4,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
64,0.00175600739371534,0.00427048675292668,0.0442513863216266,0.00921749845964264,0,12600,22,0.0036660505237215,265,40,,-19.6,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
